	question_id	tutor_feedback	label	score	lang	student_answer	reference_answer	question
2194	4.1_LM_v1.0	The response is correct as it answers the change in the diameter scale accurately.	CORRECT	1	en	The collision domain diameter decreases by the same factor. (e.g. from 4000m to 400m with a factor of 10)	Diameter decreases by a factor of 10, e.g 300m to 30m.	"What happens to the ""collision domain diameter"" if you use CSMA / CD and increase the speed of a network by a factor of 10, eg from 10Mb / s to 100Mb / s (all else being equal)?"
1337	1	Solltest du auf deine Tätigkeit angesprochen werden, bitte halte fest wann genau du angesprochen wurdest. Bitte führe den Check nur zu Ende falls es das Personal explizit gestattet.	PARTIAL_CORRECT	0.5	de	Ich gebe mich zu erkennen und lege das Informationsschreiben vor	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
1366	1	Sollte dem Personal das nicht genügen, kannst du auch gerne das Infoschreiben vorzeigen. Bitte vermerke in der App wann genau du angesprochen wurdest.	PARTIAL_CORRECT	0.25	de	Ich sage wer ich bin und was ich mache.	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
552	7	Korrekt!	CORRECT	1.0	de	Einmal tanken und eine Sache im Shop kaufen. Ein Betrag bis 16,50 Euro wird vom Auftraggeber erstattet	Es muss eine beliebige Menge Kraftstoff getankt (0.25 P) und ein beliebiger Artikel im Shop gekauft werden (0.25 P). Für beide Posten steht in Summe ein Budget von 16,50€ (0.25 P) zur Verfügung. Das Budget ist in der Belohnung inbegriffen. Es darf über dieses Budget hinaus eingekauft oder getankt werden, über das Budget hinausgehende Kosten muss der Jobber jedoch selbst tragen (0.25 P).	Frage 7: Welche Käufe muss ich tätigen, wer bezahlt diese Käufe?
222	8	Neben Sauberkeit ist auch wichtig, dass im Shop eine gewisse Ordnung herrscht.	PARTIAL_CORRECT	0.5	de	Berufsmode, Sauberkeit	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
1096	3	Korrekt!	CORRECT	1.0	de	Auf die Freundlichkeit ( Begrüßung und Verabschiedung) und ob mir die Kunden Karte oder andere Angebote gemacht werden. Darauf ob die Mitarbeiter richtig gekleidet sind.	In der Interaktion mit dem Mitarbeiter soll sowohl auf menschliche, als auch auf verkäuferische Aspekte geachtet werden. Menschliche Komponenten beinhalten z.B. die Begrüßung (0.25 P), Verabschiedung (0.25 P), Höflichkeit oder Fokus auf den Kunden. Verkäuferische Aspekte sind z.B. die Nachfrage nach Upselling (Zusatzangebot) (0.25 P) oder einer Kundenkarte (0.25 P).	Frage 3: Worauf sollst du im Kundengespräch mit dem Mitarbeiter achten?
2606	8.3_MM	The response correctly identifies the spanning-tree property that makes it appealing for broadcast and multicast. The explanation for modifying the link-state algorithm to construct a  multicast spanning tree is partially correct because it is not stated that multicast group information is shared in the link-state packet.	PARTIAL_CORRECT	0.75	en	Spanning Trees prevent loops in a network and therefore avoid the creation of duplicating packages. That is the reason why spanning trees are used for broad- and multicasting, because these packages are adressed to many (all) network participants, while a lot of connections may lead to loops which burden the network. To add spanning trees to the link state routing it would be necessary to alter the construction algorithm of the routing tables. The link state routing algorithm measures the distance to the adjacent nodes and contributes its information over the network. When every information is send out, then the nodes itself are able to locally compute a spanning tree. The network administrator would have to decide, which node will act as the root node, and then the nodes will have to use their best „shortest path“ for constructing a spanning tree.	Property: There is a single unique path between every pair of nodes in the tree. Alternatively, you can say that spanning trees are subnets of a network that do not contain loops but contain all nodes. This means that no unnecessary duplicates are distributed in the network when forwarding packets using that tree structure.  Spanning Tree with Link State Routing: Each intermediate system knows which multicast groups it belongs to, but initially doesn’t know which other IS belong to the groups. Therefore, you can add multicast group information to the link state packet and each node can construct multicast trees once the full network topology and group information are distributed in the whole network, as each node then has the complete state information stored locally (e.g. with Prim or Kruskal)	WHICH PROPERTY of spanning trees makes them appealing for broad- and multicasting? EXPLAIN how you can modify Link State Routing to construct a spanning tree for multicasting.
8	8	Korrekt!	CORRECT	1.0	de	Ob die Ware schön und ansprechend  platziert ist und keine Lücken im Regal sind. Ist ja auch darauf geachtet werden ob alles sauber und ordentlich aussieht	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
2740	8.1_MM	The description of both the challenges is incomplete.	PARTIAL_CORRECT	0.5	en	Two challenges are hidden terminals, which occurs when two nodes can communicate over the same AP but not directly to each other, and exposed terminals, which occurs when two devices want to transmit data at the same time, but encounter a channel interference.	Possible Challenges: 1.Adaptation: The network has to handle the dynamic positioning of the nodes/topology changes. Additionally, nodes can leave or join the network anywhere (within signal range) at any time. 2.Security: Interception of packets or injection of faulty packages is easily possible in wireless networks. This may necessitate encryption and authentication. 3.Medium Access Control: Wireless networks feature new possibilities for inference and collisions of the transmitted signals. See the following correct example challenges: i)Hidden Terminal: Nodes’ transmissions may collide at other nodes without them noticing, because they are out of detection range of each other (A and C in this example) and therefore sense the medium to be free even though there is an overlap of the transmission ranges.  ii)Exposed Terminal: Nodes (C in this example) may not realize they could send collision-free, because a node in their detection range (B) is sending and they, therefore, detect the medium as busy, but the sending node (B) is out of the detection range of the destination node (D) so that no collision would occur. iii)Near and Far Terminals: Signal strength decreases proportionally to the square of distance, so closer nodes may drown out the weaker signals of nodes farther away. 4.Quality of Service (QoS): Due to the rapidly changing network topology, imprecise network information, and resource constraints of participating nodes, it is challenging to provide the desired QoS. Additionally, signal quality may also decline due to noise and occlusion. 5.Scalability: Since it is not possible to know the number of participating nodes beforehand, it is vital that routing protocols, etc. are capable of dealing with increasing network sizes and workloads.  6.Heterogeneity: Nodes may have different capabilities, responsibilities, and constraints, e.g. processing capacity, transmission ranges 7.Dependability: Providing consistent, performant, and reliable routing behavior that higher-level services can trust is challenging in such a dynamic environment.  8.Power Consumption: As most mobile devices are battery-powered, power consumption becomes an important optimization factor in routing, etc.	WHAT are the challenges of Mobile Routing compared to routing in fixed and wired networks? Please NAME and DESCRIBE two challenges.
316	4	Korrekt!	CORRECT	1.0	de	Fotos von aussen und Vermerk im Jobtext	Es muss ein Foto der Sanitäranlagen von außen (0.5 P) angefertigt werden. Daraus muss hervorgehen, ob an der Tür ein Hinweisschild auf die geschlossenen Toiletten hängt. In der Frage nach Begehbarkeit und Funktionsfähigkeit muss dieser Zustand beantwortet (0.5 P) werden.	Frage 4: Ich muss die Sanitäranlagen besuchen, jedoch sind die Toiletten gesperrt. Wie gehe ich vor?
427	4	Korrekt!	CORRECT	1.0	de	ich fertige Fotos von außen an und vermerke dies in der Aufgabe	Es muss ein Foto der Sanitäranlagen von außen (0.5 P) angefertigt werden. Daraus muss hervorgehen, ob an der Tür ein Hinweisschild auf die geschlossenen Toiletten hängt. In der Frage nach Begehbarkeit und Funktionsfähigkeit muss dieser Zustand beantwortet (0.5 P) werden.	Frage 4: Ich muss die Sanitäranlagen besuchen, jedoch sind die Toiletten gesperrt. Wie gehe ich vor?
1344	1	Sollte das Personal dies gestatten, kannst du den Check auch gerne noch abschließen. Bitte halte nur in fest, wann genau du auf deine Tätigkeit angesprochen wurdest.	PARTIAL_CORRECT	0.5	de	gebe mich zu erkennen und zeige das Schreiben von Euch	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
105	8	Korrekt!	CORRECT	1.0	de	Sauberkeit, Preisausschilderung, Lücken in den Regalen	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
1395	1	Korrekt!	CORRECT	1.0	de	gebe mich zu erkennen und zeige das Informationsschreiben vor, Job mit Erlaubnis des Mitarbeiters zuende durchführen	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
142	8	Hier geht es darum wie es um das Innere des Shops bestellt ist. Achte auf Sauberkeit und Ordnung des Shops, auch darauf ob die Waren aufgefüllt und ordentlich ausgepreist sind. Ist ein Mitarbeiter anwesend um die Kunden zügig abzuwickeln?	INCORRECT	0.0	de	So, dass alle Aufgaben durchgeführt werden können	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
121	8	Hier geht es darum wie es um das Innere des Shops bestellt ist. Achte auf Sauberkeit und Ordnung des Shops, auch darauf ob die Waren aufgefüllt und ordentlich ausgepreist sind. Ist ein Mitarbeiter anwesend um die Kunden zügig abzuwickeln?	INCORRECT	0.0	de	Sind Luft Pumpe und Staubsauger sichtbar und in Betrieb, gibt es Prospekte und Plakate. liegt viel Müll herum, funktionieren die Zapfsäulen	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
2378	12.3_PE	The response is an empty submission.	INCORRECT	0	en	No response.	No. Real internet traffic often comes in bursts. Therefore, arrivals are not independent because the probability of an arrival happening at a node is influenced by previous arrivals at the node. For example, on-demand video streams selectively load the next video segments when needed. This means the actual network utilization depends on the current playback state on the client-side. The packet arrivals are not independent, as it is likely that there is a low utilization directly after the next segments have been loaded.	To model the packet arrivals as a poisson process, we assumed that the arrivals for each time interval Δt are independent. Does this assumption hold for real INTERNET traffic? Explain your answer in 2-5 sentences.
2874	10.2_TC	The response is an empty submission.	INCORRECT	0	en	No response.	Slow start (cwnd less than ss_thresh):  In the slow start phase, cwnd is incremented by one every time a segment is acknowledged. This results in an exponential growth as cwnd is essentially doubled after each Round Trip Time (RTT). This is done until either a packet is lost or ss_thresh is reached. When cwnd >= ss_thresh, the congestion avoidance phase is entered.  After a packet is lost / congestion the following adaption is made in both phases: ss_thresh = cwnd / 2. Then cwnd is reset to 1.   Congestion Avoidance (cwnd >= ss_thresh)::  In the congestion avoidance phase, cwnd is incremented more slowly. There are different incrementation strategies, but they usually grow linearly, e.g. only increment cwnd by 1 after all sent segments have been acknowledged. This is done until a packet is lost. Typically, this means that cwnd less than ss_thresh and the slow start phase is entered again.  After a packet is lost / congestion the following adaption is made in both phases: ss_thresh = cwnd / 2. Then cwnd is reset to 1.	In the lecture you have learned about congestion control with TCP. Name the 2 phases of congestion control and explain how the Congestion Window (cwnd) and the Slow Start Threshold (ss_thresh) change in each phase (after initialization, where cwnd = 1 and ss_thresh = advertised window size) in 1-4 sentences .
1189	3	Hier gilt es auch drauf zu achten ob du begrüßt und verabschiedet wirst. Hat das Personal dich nach deiner Club-Karte gefragt oder wurde dir beispielsweise ein zusätzliches Angebot unterbreitet?	PARTIAL_CORRECT	0.25	de	Stets freundlich und unerkannt bleiben. Nicht selbstständig die Kundenkarte hingeben. Auf die Kleidung achten.	In der Interaktion mit dem Mitarbeiter soll sowohl auf menschliche, als auch auf verkäuferische Aspekte geachtet werden. Menschliche Komponenten beinhalten z.B. die Begrüßung (0.25 P), Verabschiedung (0.25 P), Höflichkeit oder Fokus auf den Kunden. Verkäuferische Aspekte sind z.B. die Nachfrage nach Upselling (Zusatzangebot) (0.25 P) oder einer Kundenkarte (0.25 P).	Frage 3: Worauf sollst du im Kundengespräch mit dem Mitarbeiter achten?
1915	6.3_IPP	The response answers only the uses of DHCP correctly. The description is incomplete.	PARTIAL_CORRECT	0.5	en	DHCP simplifies installation and configuration of end systems, allows for manual and automatic IP address assignment and may provide additional configuration information. It is used for assignment.	The Dynamic Host Configuration Protocol (DHCP) is a network management protocol used in Internet Protocol (IP) networks, whereby a DHCP server dynamically assigns an IP address and other network configuration parameters to each device on the network. Further, DHCP has largely replaced RARP (and BOOTP)   Uses of DHCP are: Simplifies installation and configuration of end systems. Allows for manual and automatic IP address assignment. May provide additional configuration information  (DNS server, netmask, default router, etc.)	What is the “Dynamic Host Configuration Protocol (DHCP)”? What is it used for?
2608	8.3_MM	The response is incorrect regarding why multicast and broadcast use spanning tree. A spanning tree is used to reduce unnecessary duplicates by removing loops. The explanation for modifying the link-state algorithm to construct a  multicast spanning tree is correct.	PARTIAL_CORRECT	0.5	en	With multicasting compared to broadcasting, you have one-time sending instead of multiple sending. Therefore it is important for all the IS to have global knowledge of the multicast tree. This property applies to spanning trees and thus they can be used for multicasting. To use Link State Routing to construct a spanning tree for multicasting, the link state packets have to be expanded to contain information on the multicast groups. These periodically get broadcasted to all the other IS and now each IS can calculate a multicast tree.	Property: There is a single unique path between every pair of nodes in the tree. Alternatively, you can say that spanning trees are subnets of a network that do not contain loops but contain all nodes. This means that no unnecessary duplicates are distributed in the network when forwarding packets using that tree structure.  Spanning Tree with Link State Routing: Each intermediate system knows which multicast groups it belongs to, but initially doesn’t know which other IS belong to the groups. Therefore, you can add multicast group information to the link state packet and each node can construct multicast trees once the full network topology and group information are distributed in the whole network, as each node then has the complete state information stored locally (e.g. with Prim or Kruskal)	WHICH PROPERTY of spanning trees makes them appealing for broad- and multicasting? EXPLAIN how you can modify Link State Routing to construct a spanning tree for multicasting.
1777	4.2_LM_v1.0	The response answers all the three parts definition, advantage, and disadvantage of frame bursting correctly.	CORRECT	1	en	Frame bursting is the transmission of concatenated frames in a single transmission. This increases the efficiency in comparison to the carrier extension because we only send relevant data. However, we have to wait until the buffer is full in order to concatenate and send them which increases the end to end delay.	Frame bursting reduces the overhead for transmitting small frames by concatenating a sequence of multiple frames in one single transmission, without ever releasing control of the channel. Advantage :it is more efficient than carrier extension as single frames not filled up with garbage. Disadvantage :need frames waiting for transmission or buffering and delay of frames	"What is ""frame bursting""? Also, give 1 advantage and disadvantage compared to the carrier extension."
115	8	Hier geht es eher um das Innere des Shops. Sind die Waren ausgepreist und aufgefüllt?	PARTIAL_CORRECT	0.75	de	Das alles sauber und gepflegt ist und alle nötigen Sachen wie Dieselhandschuhe Papierrollen ect vorhanden sind	Das Gesamterscheinungsbild besteht aus der Sauberkeit (0.5 P) des Shops und der Ausstattung mit Waren (0.5 P). Bei der Sauberkeit des Shops ist z.B. auf die Sauberkeit der Fußböden oder der Brötchenauslage zu achten. Der bautechnische Zustand des Shops soll hier nicht berücksichtigt werden! Bei der Ausstattung mit Waren soll darauf geachtet werden, ob die Regale vollständig mit Produkten bestückt sind und ob der Kunde eine Wertigkeit oder einen Nutzen in den Produkten sieht.	Frage 8: Worauf sollst du in Bezug auf das Gesamterscheinungsbild des Shops achten?
1423	1	Solltest du auf deine Tätigkeit angesprochen werden,  bitte gib dich sofort zu erkennen und halte fest wann genau du angesprochen wurdest. Sofern es das Personal gestattet, kannst du den Check auch gerne noch abschließen.	PARTIAL_CORRECT	0.25	de	Ich bin für app jobber taetig	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
2931	12.2_PE	The response is an empty submission.	INCORRECT	0	en	No response.	Since we have a buffer size (N) of 10, we will always have less than 10 packets waiting in the queue unless there are exactly 10 packets in the queue. Therefore, we first calculate the probability of the system being full/having 10 packets in the queue. This is also called “blocking probability” or P_B. P_B = ((1 - utilization) * utilization^N) / 1 - utilization^(N+1) = ((1-0.9) * 0.9^10) / (1 - 0.9^11) = 0.0508 Alternatively to the blocking probability, it is also valid to directly calculate P(X less than 10) = (1 -P_B) by summing up the probabilities for 0, 1, …, 9 packets to be in the queue. To calculate the expected time where the system is not blocked in the 60-second observation time-frame, we simply multiply the time frame with P(X less than 10) or the complement of P_B (0.25p) = 60 * (1-P_B) = 56.9512 seconds	Consider a single server queueing system with a buffer of size 10. Let us assume that 9 packets arrive per second and 10 packets are served per second on an average. Assume you monitor the system for exactly one minute after the system reaches equilibrium. How many seconds would you expect the system to be in a state in which there are less than 10 packets waiting in the queue? You need to justify your answer by showing steps involved; calculations, however, need not be included. headers.
2299	2.2_DLL	The response answers the differences correctly.	CORRECT	1	en	Asynchronous transmission – Characters are transmitted individually, by encapsulating them within start and stop bit. Its simple and inexpensive but has low data transmission rates Synchronous Transmission – Several characters are combined into a Frame and encapsulating frame within SYN or Flag symbol. Its complex but offers higher data transmission rates.	Asynchronous transmission: Every character a self-contained unit surrounded by a start bit and a stop bit, which is an easy and cheap pattern, but causes low transmission rates.  Synchronous transmission: Several characters pooled to a continuous stream of data (frames), Frames defined by SYN or flag, higher complexity, but higher transmission rates. Requires synchronization between sender and receiver.	What is the difference between asynchronous and synchronous transmission mode in the Data Link Layer.
2806	4.3_LM	The response correctly identifies the fairness issue in DQDB and also gives a proper reason for it.	CORRECT	1	en	In Distributed Queue Dual Buses, stations (nodes) are connected to two unidirectional buses. When a station wants to send, needs to do a reservation in one bus. Just when that reservation reaches the other bus, the station can send the data. The problem in this architecture is how can we guarantee fairness between stations? In this architecture nodes are organized in a parallel way, so not all nodes are at the same distance. If the closer nodes send a reservation, that reservation will reach the send bus earlier than reservations from more distant nodes. If closer nodes do a lot of reservations, more distant nodes might not have the opportunity to send anything.	Depending on your position in the bus station have a disadvantage/advantage when reserving transmission rights.	"Please explain the problem with ""Distributed Queue Dual Buses"" that was discussed in the lecture in 1-3 sentences."
2958	12.2_PE	The response correctly states the non-blocking time and provides a valid justification for the calculation.	CORRECT	1	en	First, we have to calculate the probability where there are exactly 10 packets in the system, which is p_10 with the size of the buffer is limited at N=10. With that, we have this probability value equals to 0.050813731.   Since we observe the state of the system for exactly one minute, then 5.0813731% of the time (one minute, or 60 seconds) the system being in a state which there are exactly 10 packets waiting in the queue. The amount of this time should be 3.04882388 seconds.   Since the utilisation of this system is 0.9, the buffer never exceeds 10, then other than 10 packets waiting in the buffer, the system will have less than 10 packets waiting, and the amount of time for this state would be 60 - 3.04882388 = 56.95117612 seconds, or about 57 seconds.	Since we have a buffer size (N) of 10, we will always have less than 10 packets waiting in the queue unless there are exactly 10 packets in the queue. Therefore, we first calculate the probability of the system being full/having 10 packets in the queue. This is also called “blocking probability” or P_B. P_B = ((1 - utilization) * utilization^N) / 1 - utilization^(N+1) = ((1-0.9) * 0.9^10) / (1 - 0.9^11) = 0.0508 Alternatively to the blocking probability, it is also valid to directly calculate P(X less than 10) = (1 -P_B) by summing up the probabilities for 0, 1, …, 9 packets to be in the queue. To calculate the expected time where the system is not blocked in the 60-second observation time-frame, we simply multiply the time frame with P(X less than 10) or the complement of P_B (0.25p) = 60 * (1-P_B) = 56.9512 seconds	Consider a single server queueing system with a buffer of size 10. Let us assume that 9 packets arrive per second and 10 packets are served per second on an average. Assume you monitor the system for exactly one minute after the system reaches equilibrium. How many seconds would you expect the system to be in a state in which there are less than 10 packets waiting in the queue? You need to justify your answer by showing steps involved; calculations, however, need not be included. headers.
1610	8.2_MM	The stated purposes are correct but they are not limited to unicast and multicast instead used widely in broadcast too. The response correctly explains both RPF and RPB.	CORRECT	1	en	REVERSE PATH FORWARDING (RPF) is a technique used in modern routers for the purposes of ensuring loop-free forwarding of multicast packets in multicast routing and to help prevent IP address spoofing in unicast routing. Network administrators can use Unicast Reverse Path Forwarding (Unicast RPF) to help limit the malicious traffic on an enterprise network. This security feature works by enabling a router to verify the reachability of the source address in packets being forwarded. The principle of RPF is each sender has its own Spanning Tree but IS does not need to know the Spanning Trees. Each router has information which path it would use for (unicast)-packets. Algorithm of RPF is as below: Has this packet arrived at the IS entry port over which the packets for this station/source are usually also sent? Yes: Assumption: Packet used the BEST route until now Action: resend over all edges (not including the incoming one) No: Assumption: Packet did NOT use this route (it is NOT the best route) Action: discard packet (most likely duplicate REVERSE PATH BROADCAST (RPB) is an improvement on RPF. RPB not only evaluates the shortest path in relation to the interface on which the multicast packets are received, but also influences the forwarding of the data to the interface of the router. As a result, the multicast packets are only forwarded to the interfaces at which the next router is in the opposite direction on the shortest path to the data source. To be able to make the decision about forwarding, the routers must be informed about the shortest paths. TRPB routing is an extension of RPB routing. It ensures that the multicast packets do not get into subnets in which there are no current group members. The principle of RPB is every router forwards a broadcast packet to every adjacent router, except the one where it received the packet. A router u accepts a broadcast packet p originating at router s only if p arrives on the link that is on the direct (unicast) path from u to s. The Algorithm of RPB is as below: Has this packet arrived at THE IS entry over which the packets for this station/source S are usually also sent?  YES: Packet used the BEST route until now?   YES: select the edge at which the packets arrived and from which they are then rerouted to source S (in reversed direction)  NO: DO NOT send over all edges (without the incoming one), i.e., not as in Reverse Path Forwarding (RPF)  NO: discard packet (is most likely a duplicate)	Purpose: Both implement a more efficient kind (in terms of duplicate packets) of broadcasting than flooding / to minimize the number of duplicate packets in the network when broadcasting.  Reverse Path Forwarding:  Each node has a routing table stemming from unicast routing algorithms. When receiving a packet of sender S from neighbor N at node X, check the routing table and only forward the packet to all adjacent nodes (except for N) when you would send packets to S over N → the assumption is that the packet used the BEST route until now. Reverse Path Broadcast: Nodes monitor unicast traffic to learn which paths in the network they are a part of, that is node X knows that is on the best path between two nodes A and B if it receives unicast packets coming from A and going to B or visa versa. In other words, each node knows which spanning trees it is part of in the network. Reverse Path Broadcasting works identical to Reverse Path Forwarding with the exception that it only forwards packets on edges that are part of a spanning tree (again excluding the incoming line to N).	WHAT is the purpose of Reverse Path Forwarding and Reverse Path Broadcast? HOW do they work?
1811	2.1_DLL	The response answers no parts of the question correctly.	CORRECT	1	en	“Unconfirmed connectionless service”: No acknowledgement of sent or received data.  No connection -> no flow control, no connection establishment, prone to data error, loss.   “Confirmed connectionless service” : Acknowledgement of sent and received data -> timeout used to retransmit.  Still no connection like above.   “Connection oriented service” : No loss, no duplication, no sequencing error due to provided overhead.  Connection establishment -> 3 phases of communication.	1.unconfirmed connectionless - no ACK, loss of data possible, no flow control, no connect or disconnect. 2.confirmed connectionless - with ACK, no loss of data (timeout and retransmit instead→ duplicates and sequence errors possible), no flow control, no connect or disconnect. 3.connection-oriented - no data loss, duplication or sequencing errors. Instead a 3 phased communication with connect and disconnect, and flow control	Name the 3 service classes the Data Link Layer offers and explain the differences between the classes.
672	7	Korrekt!	CORRECT	1.0	de	Tanken und 1 Artikel im Shop für bis zu 16.5€, der Einkauf wird vom Auftraggeber erstattet	Es muss eine beliebige Menge Kraftstoff getankt (0.25 P) und ein beliebiger Artikel im Shop gekauft werden (0.25 P). Für beide Posten steht in Summe ein Budget von 16,50€ (0.25 P) zur Verfügung. Das Budget ist in der Belohnung inbegriffen. Es darf über dieses Budget hinaus eingekauft oder getankt werden, über das Budget hinausgehende Kosten muss der Jobber jedoch selbst tragen (0.25 P).	Frage 7: Welche Käufe muss ich tätigen, wer bezahlt diese Käufe?
1444	1	Korrekt!	CORRECT	1.0	de	Ich gebe mich zu erkennen und zeige das Informationsschreiben, welches in den Aufgaben angehängt ist vor. Mit der Erlaubnis des Mitarbeiters setze ich den Check fort.	Der Jobber soll sich in diesem Fall dem Personal gegenüber zu erkennen geben (0.25 P) und das entsprechende Informationsschreiben in der App vorzeigen (0.25 P). Zusätzlich muss notiert werden, zu welchem Zeitpunkt (0.25 P) des Jobs der Jobber enttarnt wurde. Zentrale Frage ist dabei, ob ein neutrales, unvoreingenommenes Verkaufsgespräch stattgefunden hat. Der Job soll mit Erlaubnis der Mitarbeiter bis zum Ende durchgeführt (0.25 P) werden.	Frage 1: Wie reagierst du, wenn du auf deine Tätigkeit angesprochen wirst?
